dataset,DecisionTree,SVM,KNN,LogisticRegression,Perceptron,MLP,time_seconds
PieChart2,0.963758389261745,0.978523489932886,0.978523489932886,0.9718120805369128,0.9704697986577182,0.9731543624161073,2.98
PieChart3,0.8505124892334195,0.8755813953488373,0.8598105081826013,0.878380706287683,0.8161541774332471,0.8607278208440998,11.54
acute-inflammations,1.0,1.0,1.0,1.0,1.0,1.0,0.49
banknote-authentication,0.9832329130723292,1.0,0.9978102189781021,0.9810510948905108,0.9846954213669541,1.0,1.74
blogger,0.79,0.7,0.74,0.64,0.5999999999999999,0.8200000000000001,1.02
blood-transfusion-service-center,0.7058523489932886,0.7740492170022372,0.7780939597315436,0.7727069351230426,0.6939239373601789,0.7994720357941836,0.83
breast-tissue,0.41428571428571426,0.4337662337662338,0.3956709956709956,0.3874458874458874,0.31212121212121213,0.377056277056277,1.23
climate-model-simulation-crashes,0.8796296296296295,0.9148148148148147,0.9055555555555556,0.9018518518518519,0.8777777777777779,0.9018518518518519,1.81
fertility,0.82,0.8800000000000001,0.8600000000000001,0.85,0.8099999999999999,0.86,0.83
hill-valley,0.5412304866850322,0.5090977111179131,0.5255688195082134,0.6955684794068633,0.5677549909873142,0.6410468319559228,4.97
ilpd,0.6432213380489242,0.7084143825523136,0.6654877689360448,0.715281461833186,0.691158267020336,0.7083701738874153,4.41
parkinsons,0.8615384615384615,0.8717948717948717,0.8871794871794872,0.8666666666666666,0.8102564102564103,0.9282051282051282,1.15
planning-relax,0.5441441441441441,0.7144144144144144,0.6099099099099099,0.7088588588588589,0.5493993993993994,0.5941441441441441,1.71
one-hundred-plants-margin,0.45125000000000004,0.8237500000000001,0.769375,0.820625,0.546875,0.8400000000000001,16.39
one-hundred-plants-shape,0.421875,0.48187499999999994,0.57375,0.63375,0.20375000000000001,0.701875,43.57
one-hundred-plants-texture,0.5134247648902821,0.8180172413793103,0.7848608934169279,0.8380289968652038,0.6535481974921631,0.8486579153605016,15.27
qsar-biodeg,0.8170616113744076,0.8739336492890996,0.8616113744075831,0.8701421800947868,0.8255924170616113,0.8796208530805687,9.01
qualitative-bankruptcy,0.9960000000000001,0.9960000000000001,0.9559999999999998,0.5599999999999999,0.532,0.984,1.07
sa-heart,0.5692847124824685,0.7035998129967276,0.6386863020102852,0.7210378681626928,0.6516362786348762,0.6969845722300141,3.63
seeds,0.8952380952380953,0.9238095238095237,0.9238095238095239,0.9285714285714285,0.9476190476190476,0.9476190476190476,1.34
seismic-bumps,0.8952380952380953,0.9238095238095237,0.9238095238095239,0.9285714285714285,0.9476190476190476,0.9476190476190476,1.29
steel-plates-fault,1.0,0.9974240055124163,0.9855749609095487,0.9989703972649935,0.9989703972649935,0.9994845360824742,2.26
thoracic-surgery,0.7829787234042553,0.851063829787234,0.8382978723404255,0.8297872340425532,0.7468085106382978,0.7851063829787234,3.73
user-knowledge,0.8860802469135802,0.8860493827160493,0.7841666666666666,0.890925925925926,0.6500925925925926,0.9182716049382715,3.56
wdbc,0.9104021114733737,0.9771619313771154,0.9630957925787922,0.9736686849868033,0.9508150908244062,0.9806862288464524,2.17
wholesale-customers,0.8795454545454545,0.909090909090909,0.9045454545454545,0.909090909090909,0.865909090909091,0.9181818181818183,3.06
robot-failures-lp1,0.7405228758169933,0.6366013071895426,0.5699346405228758,0.6594771241830066,0.6359477124183006,0.7169934640522875,1.41
robot-failures-lp4,0.8289855072463768,0.7442028985507246,0.6518115942028986,0.7271739130434781,0.6579710144927537,0.8134057971014492,1.19
robot-failures-lp5,0.5729166666666666,0.45681818181818185,0.49375,0.4871212121212121,0.4753787878787879,0.5662878787878788,1.68
vertebra-column,0.7806451612903226,0.832258064516129,0.7806451612903226,0.8516129032258064,0.8290322580645162,0.8129032258064516,2.27
autoUniv-au1-1000,0.649,0.7620000000000001,0.746,0.735,0.643,0.6990000000000001,5.91
autoUniv-au6-750,0.24266666666666667,0.236,0.1746666666666667,0.2,0.136,0.16,4.98
autoUniv-au6-400,0.31500000000000006,0.2875,0.2,0.21000000000000002,0.1675,0.21749999999999997,2.63
autoUniv-au7-1100,0.3236363636363636,0.3690909090909091,0.3127272727272727,0.3381818181818182,0.2545454545454545,0.3245454545454545,9.53
autoUniv-au7-700,0.5128571428571428,0.4314285714285714,0.37,0.4314285714285714,0.35571428571428576,0.41,5.91
autoUniv-au7-500,0.45200000000000007,0.42400000000000004,0.338,0.39,0.262,0.358,4.24
autoUniv-au6-1000,0.231,0.23399999999999999,0.176,0.16699999999999998,0.14,0.143,6.88
Smartphone-Based_Recognition_of_Human_Activities,0.9555555555555555,0.9277777777777777,0.888888888888889,0.9666666666666666,0.888888888888889,0.961111111111111,1.37
thoracic_surgery,0.7829787234042553,0.851063829787234,0.8382978723404255,0.8297872340425532,0.7468085106382978,0.7936170212765956,3.69
dresses-sales,0.52,0.6020000000000001,0.574,0.59,0.558,0.5519999999999998,162.09
breast-cancer-dropped-missing-attributes-values,0.614090909090909,0.7759090909090909,0.729025974025974,0.7472727272727273,0.6783766233766233,0.7113636363636363,1.96
LED-display-domain-7digit,0.702,0.716,0.7,0.73,0.658,0.698,3.51
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.525625,0.57875,0.538125,0.515625,0.495625,0.5612499999999999,14.22
GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1,0.579375,0.669375,0.6,0.5006250000000001,0.504375,0.680625,14.32
GAMETES_Epistasis_3-Way_20atts_0.2H_EDM-1_1,0.518125,0.52125,0.5393749999999999,0.5087500000000001,0.49812500000000004,0.53375,14.25
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,0.5493750000000001,0.6337499999999999,0.548125,0.476875,0.5043749999999999,0.6381249999999999,15.16
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM-2_001,0.5487500000000001,0.663125,0.589375,0.49749999999999994,0.496875,0.6487499999999999,15.21
analcatdata_fraud,0.711111111111111,0.6666666666666666,0.7416666666666666,0.7083333333333333,0.5888888888888889,0.7305555555555555,0.69
calendarDOW,0.6039240506329114,0.5814873417721519,0.6040506329113924,0.5715506329113923,0.4813607594936709,0.6065189873417721,5.08
car-evaluation,0.9664321018681411,0.9693289771299322,0.8229153053531038,0.9259210856999246,0.8524352852475495,0.9965301164446678,4.26
